funder,works count
Shenzhen Fundamental Research Program,2
National Institute on Aging,2
"The Ministry of Science and Technology, Taiwan",2
National Renewable Energy Laboratory,2
2015 Project of six personnel in Jiangsu Province,2
Wyng Foundation of Hong Kong,2
RCUK ,2
Economic and Social Research Council (ESRC),2
National Defense Basic Scientific Research Program of China,2
Major Research Plan,2
Ministry of Education (MOE) in Taiwan,2
Jiangsu Provincial Key Laboratory of Network and Information Security,2
Zhejiang Provincial Natural Science Foundation of China,2
National 973 Program,2
A.G. Leventis Foundation,2
Universiti Kebangsaan Malaysia,2
Innovation Fund Denmark,2
China NSF,2
LMU Munich,2
Science and Technology Program of Guangdong Province,2
Hallym University,2
Key Lab of Information Network Security of Ministry of Public Security,2
BUPT Excellent Ph.D. Students Foundation,2
Natural Science Foundation of Hubei Province of China,2
Japan Society for the Promotion of Science (JP),2
China University of Political Science and Law,2
the National Science Foundation of China,2
the National Key Research and Development Program of China,2
Indiana University Precision Health Initiative,2
Basic Energy Sciences,2
Carnegie Mellon University,2
Horizon 2020 research and innovation programme,2
"Academy of Finland, Finland",2
South African Medical Research Council,2
Brunel University,2
The University of Nottingham,2
NHGRI,2
ANR,2
"Special Fund for Key Program of Science and Technology of Anhui Province, China",2
Strategic Priority Research Program of the Chinese Academy of Sciences,2
Aid for Cancer Research,2
Radiological Society of North America,2
Genentech,2
Philips,2
American College of Radiology Imaging Network,2
"National Centre for the Replacement, Refinement and Reduction of Animals in Research",2
William and Flora Hewlett Foundation,2
Deutsches Zentrum für Luft- und Raumfahrt,2
Huawei,2
National Basic Research Program of China (973 Program),2
Opening Project of Shanghai Trusted Industrial Control Platform,2
Guangxi Colleges and Universities Key Laboratory of Cloud Computing and Complex Systems,2
Guangdong Natural Science Funds for Distinguished Young Scholar,2
Korean Government,2
Bundesministerium für Verkehr und Digitale Infrastruktur,2
Science and Technology Key Projects of Hunan Province,2
Peng Cheng Laboratory Project of Guangdong Province,2
Arizona State University,2
National Health and Medical Research Council (NHMRC),2
Innovation Fund for Graduate Students in Jiangxi Province,2
Natural Science Foundation of Jiangxi Province,2
Foundation for Distinguished Young Talents in Higher Education of Guangdong,2
European Union’s Horizon 2020,2
National Institute of Information and Communications Technology,2
Massachusetts Institute of Technology,2
Nanyang Technological University,2
Korean government,2
Electronics and Telecommunications Research Institute,2
Singapore Ministry of Education Academic Research Fund Tier 2,2
Horizon 2020 - Research and Innovation Framework Programme,2
National Key R&amp;D Program of China,2
U.S. Department of Veterans Affairs (US),2
Alberta Innovates Technology Futures,2
the young talent promotion project of Fujian Science and Technology Association,2
Industrial Technology Research Institute,2
International Scientific and Technological Innovation Cooperation,2
COST Action,2
Jet Propulsion Laboratory,2
Novo Nordisk Foundation,2
"Escuela Politécnica Nacional, Ecuador",2
University of Sydney,2
Canadian Institutes for Health Research,2
"Ministry of Science and Technology (MOST), Taiwan",2
EUROSTARS,2
ARTFORCE,2
Dutch Cancer Society,2
REQUITE,2
Queen Mary University of London,2
"Research Grants Council, University Grants Committee, Hong Kong",2
Narodowym Centrum Nauki,2
"Departamento Administrativo de Ciencia, Tecnología e Innovación",2
Division of Biological Infrastructure,2
Netherlands Organisation for Scientific Research,2
Ministry of Education - Singapore,2
RFBR,2
Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco,2
Marie Curie,2
Deutsche Forschungsgemeinschaft (DFG),2
Fulbright Association,2
"Ministry of Agriculture, Forestry and Fisheries of Japan",2
Fondation Brain Canada,2
Zhejiang University,2
Consejo Nacional de Ciencia y Tecnología,2
China 111 Project,2
Australian Research Council Linkage Project,2
Innovationsfonden,2
Horizon 2020 Framework Programme (EU Framework Programme for Research and Innovation H2020),2
Funded Access,2
NHMRC,2
Natural Sciences and Engineering Research Council (NSERC) of Canada,2
Agency for Healthcare Research and Quality,2
Zayed University,2
Ford Foundation,2
Singapore National Research Foundation,2
Directorate for Geosciences,2
Australian National Data Service,2
"U.S. Department of Energy, Office of Science, Office of Advanced Scientific Computing Research",2
Institute of Education Sciences,2
Narodowe Centrum Nauki,2
Sichuan Provincial Key Laboratory Project,2
Inter-American Development Bank,2
"National Research, Development and Innovation Office",2
TUBITAK,2
Suomalainen Tiedeakatemia,2
Emmy Noether,2
European Union's Seventh Framework Programme,2
Key Technology Research and Development Program of Shandong,2
CNR,2
The Health Foundation,2
European Union’s Horizon 2020 research,2
Terry Fox Research Institute,2
Qatar National Research Fund,2
Monash University,2
"Grantová Agentura, Univerzita Karlova",2
Soonchunhyang University,2
Xi'an University of Posts and Telecommunications,2
Division of Social and Economic Sciences,2
National Key Basic Research Program of China,2
National Natural Science Foundation of Tianjin,2
National Geographic Society,2
Stavros Niarchos Foundation,2
Institute for Aegean Prehistory,2
Research Institute of Science and Technology for Society,2
National Pork Board,2
"Directorate for Social, Behavioral and Economic Sciences",2
National Fundamental Research Program of China,2
The Myrna and John Daniels Charitable Trust,2
All India Council for Technical Education,2
Division of Integrative Organismal Systems,2
Young Talent Promotion Project of Fujian Science and Technology Association,2
National Key Technology R&D Program,2
Centers for Disease Control and Prevention (CDC),2
"Ministry of Education, China",2
Volkswagen Foundation,2
Grains Research and Development Corporation,2
The National Key Research and Development Program of China,2
National Natural Science Foundation of China-Yunnan Joint Fund,2
European Unions Horizon 2020 Research and Innovation Programme,2
NSF of China,2
Natural Science Foundation of Chongqing,2
"National Institute on Disability, Independent Living, and Rehabilitation Research",2
"Secretaría de Educación Superior, Ciencia, Tecnología e Innovación",2
Health Resources and Services Administration,2
Ministerio de Economía y Competitividad (ES),2
Saudi Arabia Cultural Bureau in London,2
H2020 Science with and for Society,2
U.S. National Library of Medicine,2
National Natural Science Foundation of China Grant,2
Российский Фонд Фундаментальных Исследований,2
NCI,2
City University of Hong Kong,2
Universitetet i Oslo,2
Technology Programme of the Ministry of Economic Affairs,2
Ontario Research Fund,2
Oak Ridge National Laboratory,2
Joint Programming Initiative A healthy diet for a healthy life,2
