funder,works count
Chongqing Science and Technology Foundation,1
Tarim University,1
Science and Technology Department of Xinjiang Uyghur Autonomous Region,1
Chongqing Municipal Education Commission,1
Royal Society,1
The Calleva Foundation,1
Royal Commission for the Exhibition of 1851,1
Human Origins Research Fund,1
Center for Cyber-physical System Innovation from The Featured Areas Research Center Program within the framework of the Higher Education Sprout Project by the Ministry of Education (MOE) in Taiwan,1
University of Bristol,1
Research Councils UK,1
Scan,1
Interface,1
University of Alberta,1
Universiteit Leiden,1
Science Fund for Distinguished Young Scholars in Hunan Province,1
IBM faculty award,1
Canadian Institutes of Health Research,1
Canarie,1
"South African DST-NRF Centre of Excellence in Scientometrics and Science, Technology and Innovation Policy",1
Vinnova,1
The Swedish Foundation for Strategic Research,1
The Swedish Research Council,1
Universität zu Lübeck,1
Natural Science Basic Research Plan in Shaanxi Province of China,1
Office of High Energy Physics,1
Office of Nuclear Physics,1
Heising-Simons Foundation,1
Key Technology Research & Innovation Team Project,1
U.S. Army,1
Grantová Agentura ðeské Republiky,1
Natural Environment Research Council,1
Philip Morris International,1
Universidad Rey Juan Carlos,1
The John Templeton Foundation,1
The Laura and John Arnold Foundation,1
National Institute on Aging,1
Major Science and Technology Projects,1
"This work is supported by National Key Laboratory of Software Environment at Beihang University, National 973 Program (Grant No. 2013CB329601) and National Natural Science Foundation of China (Grant No. 61472032) , (Grant No. 61672075) and (Grant No. 61690",1
Key Science Research Development Plan Zhejiang Province,1
Natural Science Foundation of Zhejiang,1
Jiangsu Province Key R&D Project,1
Engineering & Physical Sciences Research Council,1
"University of Cambridge via the Trust & Technology Initiative, and Microsoft via the Microsoft Cloud Computing Research Centre",1
Universidade de Macau,1
Open Fund for Discipline Construction,1
"Institute of Physical Science and Information Technology, Anhui University",1
MIUR,1
Office of Science,1
National Renewable Energy Laboratory,1
"Race and Difference Initiative, Emory University",1
Office of Energy Efficiency and Renewable Energy,1
CICAEET,1
State Key Laboratory of Information Security,1
2015 Project of six personnel in Jiangsu Province,1
Tekes,1
Institute of Food and Agricultural Sciences,1
Institute of Information & Communications Technology Planning & Evaluation,1
Korea Institute for Advancement of Technology,1
RCUK ,1
Economic and Social Research Council (ESRC),1
EOSC-Life,1
EMBL-EBI,1
National Defense Basic Scientific Research Program of China,1
Institute of Museum and Library Services,1
Young Scientists Fund,1
Major Research Plan,1
Key Programme,1
Featured Areas Research Center Program,1
Center for Cyber&#x2013;Physical System Innovation,1
Ministry of Education (MOE) in Taiwan,1
RCUK's Horizon Digital Economy Research Institute,1
Horizon Centre for Doctoral Training at the University of Nottingham,1
International Science 8 Technology Cooperation Program of China,1
111 project,1
China Hunan Provincial Science 8 Technology Program,1
None,1
"Ministry of Higher Education, Malaysia",1
China Specialized Research Fund for the Doctoral Program of Higher Education,1
Key Laboratory of Computer Network and Information Integration of the Ministry of Education of China,1
NSFC–Guangdong Joint Fund,1
"Collaborative Innovation Center of Wireless Communications Technology, Hong Kong Research Grant Council",1
Jiangsu Provincial Natural Science Foundation of China,1
Jiangsu Provincial Key Laboratory of Network and Information Security,1
Provincial Natural Science Foundation of Jiangsu Province,1
"Research Councils UK Digital Economy Programme, Web Science Doctoral Training Centre, University of Southampton",1
Zhejiang Provincial Natural Science Foundation of China,1
National 973 Program,1
"Deanship of Scientific Research, King Saud University for funding through Vice Deanship of Scientific Research Chairs",1
A.G. Leventis Foundation,1
South African National Research Foundation,1
University of Washington Office of International Affairs,1
Universiti Kebangsaan Malaysia,1
National Nature Science Foundation of China under Grant,1
"Open Project of the State Key Laboratory of Information Security, Institute of Information 402 Engineering, Chinese Academy of Sciences",1
Innovation Fund Denmark,1
Industriens Uddannelses- og Samarbejdsfond,1
China NSF,1
Open Project Program of the State Key Laboratory of Mathematical Engineering and Advanced Computing,1
Science and Technology Innovation 2030 - New Generation Artificial Intelligence,1
Joint Scientific Research Foundation of the State Education Ministry,1
Alibaba Innovation Research AIR Program,1
Utah Genome Project,1
university of utah,1
FAU Erlangen-Nuremberg,1
LMU Munich,1
Thurgau Institute of Economics,1
Science and Technology Support Program of Hubei Province,1
Youth Talent Project of Science and Technology Research Program of Hubei Provincial Education Department,1
Innovation Fund of Huazhong University of Science and Technology,1
University of Pittsburgh,1
Hallym University,1
Key Lab of Information Network Security of Ministry of Public Security,1
Chengdu Science and Technology Bureau,1
“la Caixa” Foundation,1
BUPT Excellent Ph.D. Students Foundation,1
Hainan Provincial Department of Science and Technology,1
"the Open Research Fund of Key Laboratory of Digital Earth Science, Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences",1
"Faculty of Education, Charles Sturt University",1
Wettenhall Foundation,1
APSV,1
Network Monitoring Center of Jiangsu Province,1
"Jiangsu Collaborative Innovation Center on Atmospheric Environment and Equipment Technology, Nanjing University of Information Science & Technology, Nanjing, China",1
"Faculdade de Ciências e Tecnologia, Universidade Nova de Lisboa",1
H2020-SUICT-03-2018,1
Science and Technology Foundation of SGCC,1
Youth Innovation Team Project in the Hubei Provincial Department of Education,1
Major Scientific and Technological Innovation Project of Hubei Province,1
Japan Society for the Promotion of Science (JP),1
European Commission (H2020 Programme),1
Fonds National de la Recherche Luxembourg,1
Diameter Health,1
Kansas Health Information Network,1
NUPTSF,1
Priority Academic Program Development,1
Shaanxi Provincial Education Department,1
"New Star Team of Xi'an University of Posts and Telecommunications,",1
China University of Political Science and Law,1
National NSFC,1
National Key R & D Program of China,1
"National Research Foundation, Singapore",1
the National Science Foundation of China,1
the National Key Research and Development Program of China,1
University of Texas at San Antonio,1
Indiana University Precision Health Initiative,1
Indiana Clinical and Translational Sciences Institute,1
Digital Integrative Liberal Arts Center at Georgia Tech,1
Natural Science Foundation of Hebei Province,1
The University of Adelaide Research Fellowship,1
Department of Education and Training ,1
National Institute of Neurological Disorders and Stroke (US),1
Innovation and Networks Executive Agency,1
Inner Mongolia Major science and technology projects,1
Innovation Fund of Inner Mongolia University of Science and Technology,1
Carnegie Mellon University,1
Basic Energy Sciences,1
Horizon 2020 research and innovation programme,1
"Academy of Finland, Finland",1
Australian Research Council Discovery Project,1
Privacy-Aware Retrieval and Modeling of Genomic Data,1
Natural Science Basic Research Plan in Shaanxi Province of china,1
Key Program of NSFC,1
Shaanxi Science & Technology Coordination & Innovation Project,1
Research funding for Innovation team of Engineering University of PAP,1
U.S. Department of Energy (DOE),1
National Cybersecurity R&D,1
NICHD NIH HHS,1
John S. and James L. Knight Foundation,1
the 67th PhD Project “Research on the Conflict of Shareholders and the Governance of Private Law in the Public Use of Government Data”,1
National Major Science and Technology Projects of China,1
EU's Horizon 2020 programme,1
Northwest Normal University,1
Science and Technology Project of Lanzhou City,1
National Program on Key Basic Research Project (973 Program),1
BC Knowledge Development Fund,1
the Netherlands Organisation for Scientific Research (NWO),1
Key Program of Joint Funds of the National Natural Science Foundation of China,1
Institute for Information and Communications Technology Promotion,1
Education Natural Science Foundation of Jiangsu Province,1
Innovation Program for Postgraduate of Jiangsu Province,1
Nanjing University of Posts and Telecommunications Foundation,1
State Key Development Program of Basic Research of China,1
DKFZ Heidelberg Center for Personalized Oncology,1
British and Irish Law Education and Technology Association,1
Computer Law and Security Review,1
USAID,1
Bill and Melinda Gates Foundation Grant,1
Oxford University Press,1
"Departamento Administrativo de Ciencia, Tecnología e Innovación, Colciencias",1
Brunel University,1
"European Union, Competitiveness and Innovation Framework Programme",1
Research and Innovation in Science and Technology Project (RISET-Pro),1
INASP,1
Norwegian Research Council,1
European Union Horizon 2020 Program through the ODINE Project and the Data Pitch Project,1
“José Castillejo” research program from the Spanish Government,1
Centre for Spatial Data Infrastructures and Land Administration,1
European Research Council,1
Poetry Standardization and Linked Open Data,1
CVL region (FRANCE),1
ANR Mobi'kids,1
NLM,1
NHLBI,1
NHGRI,1
NSERC,1
BBC R&D,1
RCUK,1
National Center for Advancing Translational Sciences,1
National Institutes of Health or the National Human Genome Research Institute,1
National Human Genome Research Institute of the U.S. National Institutes of Health,1
Research-Foundation Flanders,1
Inria,1
ANR,1
Shenzhen Key Laboratory Fund,1
Guangdong Province Basic Research Program,1
Special Project for Research and Development in Key areas of Guangdong Province,1
Guangdong Zhujiang Project,1
NWO Aspasia,1
Maastricht York Partnership Grant,1
Information Technologies for Business Intelligence—Doctoral College,1
Secretaria d’Universitats i Recerca de la Generalitat de Catalunya,1
U.S. Department of Defense,1
H2020 Marie Skłodowska-Curie Actions,1
